Nombre,Comentarios
Brangus Steaks & Drinks,"Reseña de un miércoles por la tarde!
Uff! Súper súper recomendable.
El lugar es agradable, la atención es buena, las promociones de bebidas son muy atractivas y la comida es DELICIOSA!
2x1 en cervezas de la apertura hasta las 4:00pm
3x1 en preparados de 4:00pm al cierre
Recomendaciones de comida!
Entradas:
Guacamole con castacan 😙👌🏼
Dip de espinaca.
Empanadas mixtas.
Comida:
Tablazo mar y tierra 😙👌🏼
Realmente vale la pena y esta súper bien servido!

Segunda visita, sábado por la noche.
Súper recomendable para ir por la cenita y unos drinks…
Recomendaría la terraza por el ambiente.
Servicio excelente!
Comida excelente!
Precios excelentes 👍🏼"
Habaneros - Cocina Yucateca y Mariscos,"Si vienes de visitaa Mérida, es un restaurante que debes visitar,  excelente servicio, amables, con gusto te explican y ayudan a elegir. La comida esta muy rica. Lo mejor es su salsa de habanero que también tienen para venta. Sin duda regresó pronto"
Habaneros - Cocina Yucateca y Mariscos,Ordenamos la Bomba Yucateca para probar varios platillos y alcanzo perfecto para cuatro personas. Incluye cuatro sopas de lima y un agua natural que también está buenísima. Las salsas y las tortillas son preparadas al momento.
Habaneros - Cocina Yucateca y Mariscos,"La comida es deliciosa, excelente sabor yucateco! La sopa d lima es exquisita! La torta d cochinita/lechón es abundante y con mucho sabor! Muy recomendable al visitar Merida"
Habaneros - Cocina Yucateca y Mariscos,"Excelente opcion para comer, el servicio muy bueno.
Desde que llegas, puedes ver como preparan las tortillas y las salsas, que te dan a elegir a tu preferencia.
La comida muy rica.
Definitivamente vale la pena probar otros platillos."
Habaneros - Cocina Yucateca y Mariscos,"La calidad de los alimentos 5 estrellas, saben a lo que deben de saber. Pedí una sopa de lima, extraordinaria, y los panuchos deliciosos. Su salsa de molcajete sin picante si así lo solicitas y la salsa de habanero tiene un sabor único y de un picor agradable. Ambiente familiar; los meseros muy atentos, no importa si no es tu mesero, te atienden enseguida. Los platillos recién preparados, el lugar muy limpio, la música moderada de volumen te deja platicar."
El Original Montejo,Un buen lugar para ir a cenar con porciones muy buenas pero la atención es muy lenta además que la comida tardó más de 40 minutos en llegar y tenías que perseguir al mesero para que te atienda. Solo por esos detalles creo que no sería un lugar el cual sea recurrente para ir.
El Original Montejo,"Servio rápido y amable. Pero con sabores corrientes y algo insípidos, no es comida mala pero no es deliciosa en ningún sentido, las porciones son muy grandes.
No recomiendo las costillas son duras y secas aunque con algo de salsa extra son algo tolerables pero no las volvería a pedir.
En mi opinión es un lugar con comida que no me da ilusión alguna de comer otra vez.
Pero los trabadores y el restaurante en sí es agradable de estar, es algo oscuro y el clima es suficientemente frío, solo recomiendo mucho que mejoren la comida."
El Original Montejo,"El lugar muy agradable, la comida muy rica, el servicio un poco lento pero amables. Los.precios van desde los 100 hasta los 450 por platillo, la verdad muy bien servido y muy rico. Me encantó la ensalada Montejo, la hamburguesa tenía buen tamaño, la carne tenía buen sabor. El dip de espinacas estuvo de más de 10."
El Original Montejo,"La comida no es muy elaborada, pero está buena. El lugar me pareció un poco obscuro para mí gusto, es posible que sea para que las pantallas se vean mejor."
El Original Montejo,"Me encanta el lugar, es tranquilo, generalmente tienen puesto deportes en las pantallas y la comida es muy buena"
La Fiesta Brava | Suc. Cordemex,"Riquísimo los mejores tacos al pastor y árabes.
Les recomiendo los nachos 😋"
La Fiesta Brava | Suc. Cordemex,"Muy buen lugar para cenar, los platillos son abundantes y con muy buen sazón. El agua de fruta también es muy buena"
La Fiesta Brava | Suc. Cordemex,"No sólo muy rico, sino que las porciones son grandes (al menos los nachos de pastor y carne árabe estaban grandotes) y a precio muy accesible. Y la atención con el cliente es fabulosa: pedimos para llevar lo que no nos acabamos y no sólo nos pusieron para llevar sino que hasta salsas en bolsitas nos ofrecieron. Definitivamente regresamos. Tienen servicio a domicilio también."
La Fiesta Brava | Suc. Cordemex,"En general, brindan muy buena atención y los platillos son bien preparados y de buen sabor. Si bien suelen tener bastantes pedidos para domicilio, la espera no es mucha y toman inmediatamente la orden."
La Fiesta Brava | Suc. Cordemex,"MUY recomendable.
Los tacos al pastor son increíbles!!!
Les recomiendo muchísimo este lugar. Servicio muy amable y profesional.
4 tacos + 2 gringas + Agua de Tamarindo = $170"
Restaurante Las Jirafas,"Muy rico, económico y excelente servicio. La ubicación esta increíble, cerquisima de las avenidas principales y sobre paseo Montejo.
Recomiendo muchísimo los taquitos. Las porciones son muy buenas. Si pides los mega nachos, estos son para compartir con una o dos personas mas, depende que tanto consuma cada quién."
Restaurante Las Jirafas,"Hay un pero…
De la comida no tengo quejas, es muy rica.
La atención y limpieza…terrible.
Al momento de llegar al lugar nos acercamos a 1 mesero para saber cómo poder conseguir mesa y nos dijo que era “gana lugar”, nunca se acercó nadie a preguntar cuántas personas éramos o mínimo decir que nos atenderían a la brevedad.
Las mesas las arman de acuerdo a la cantidad de personas que lleguen juntas (lo cual está bien), pero si desarman alguna mesa y hay sillas que sobran, las dejan a medio camino…ocasionando accidentes.
Mi acompañante terminó con la espalda llena de cerveza porque el mesero se tropezó (los accidentes siempre pasan, pero se puede minimizar la probabilidad si tienes control del lugar, lo cual no existe ahí)
Nuestra mesa Ninfa la limpiaron, ni cuando dejaron de usarla ni antes de que nos sentáramos.

En resumen: comida de 1000%, experiencia en el lugar 0 😵‍💫"
Restaurante Las Jirafas,"Los tacos tienen buen sabor. Se descarta la carne al pastor. Ponen diferentes tipos de salsas a la masa para diferentes gustos.
Hay buen ambiente en el restaurante con música y videos, pasas un buen rato.
La atención en el restaurante es muy amable
El servicio es rápido,  dan buenas recomendaciones si estás indeciso en que pedir."
Restaurante Las Jirafas,"Muy buen lugar para comer tacos y pozole 😋 y a un buen precio, no tiene estacionamiento."
Restaurante Las Jirafas,"Llegué al restaurante por recomendaciones de tacos los cuales admito estaban ricos, mi compañero pidió tacos de alambre los cuales recomiendo efusivamente.
Por otro lado el servicio no fue tan bueno una vez se me acabaron los complementos como salsas, cilantro y cebolla... Olvidaron darme más cuando lo pedí.
El dato que me parece importante mencionar fue que encontré cucarachas muertas en el baño."
Artemia Restaurante,"El lugar es bonito, la comida normal, en cuanto al servicio les falta ser mas atentos, mi cafe estaba aguado, los chilaquiles de mi pareja le faltaba sabor, en cuanto mi sandwich muy simple."
Artemia Restaurante,"El lugar se encuentra dentro del edificio buyán apartmens, tiene un menú variado y buenos precios, el ambiente es cómodo y la atención es buena."
Artemia Restaurante,"Siempre había visto lleno este lugar y quise probar, lamentablemente nada memorable. La comida, bastante x, se ve mejor de lo que sabe; obvio, los mismos precios que los lugares ricos de alrededor. Para colmo, necesitaba un minuto su wifi y se negaron a compartirlo y no de muy linda manera, parece que les hubiera pedido que me compartieran sus secretos financieros. Definitivamente mejores opciones alrededor."
Artemia Restaurante,"Acudimos para desayunar y probar el pan que tiene buenas reseñas: pedimos el rol de canela y tenía muy buen sabor, aunque tampoco extraordinario.

Ordenamos el Sándwich de Quesos y tanto la presentación como el sabor nos dejó un poco decepcionados, venía acompañado de papas trufadas que nos parecieron demasiado grasosas y ni siquiera las consumimos.

Por el contrario, ¡los Huevos Estofados nos encantaron! Los recomendamos.

En visitas anteriores hemos probado también los Huevos Turcos y también los recomendamos.

Es un lugar al que tendrías que ir para probar algunas de las dos opciones anteriores.

El tamaño del Capuchino es muy generoso, prácticamente el doble que otras cafeterías que los sirven en tazas muy pequeñas.

El servicio fue rápido y muy amable.

En nuestra última visita hicimos reservación para desayunar en domingo, nos informaron que el tiempo máximo de estancia era de 90 minutos, lo que nos parece un poco descortés, de cualquier manera, al llegar no hicieron mención de esta limitación y nuestras visitas suelen ser de una hora."
Artemia Restaurante,"La comida es fantástica. Pero es una pena la cara fúnebre de todos los meseros y que no tengan wifi (sí tienen, sólo que al preguntar contestaron que es para el personal únicamente) a pesar de tener mesas de trabajo."
Restaurante Emplumado,"El lugar es muy lindo, tiene una vista privilegiada al monumento a la bandera, además el ambiente del restaurante es agradable, incluso nos tocó música de un dj. La comida es rica, sin embargo, no está al nivel de los precios que cobran. Pedimos de entrada unas esferas negras, rellenas de quesos y empanizadas con recado negro y estaban bastante llenadoras, pero el sabor no me conquistó, de plato fuerte pedimos un risotto milanés bastante rico con pescado encima y un tuétano que le faltaba sal, también unas cachetadas de rib-eye que tenían buen sabor, pero predominaba el queso a la carne, y quizás porque la mesa estaba afuera y había frío, el platillo se enfrió rápido y tuvimos que pedir que recalienten.

El personal muy atento y amable en todo momento. La mixología muy rica, recomendaría el lugar para ir por unos tragos a disfrutar la vista y el buen ambiente."
Restaurante Emplumado,"El lugar muy bonito, las tostadas de atún deliciosas igual que la ensalada de betabel. Pedimos el plato con de todos los postres, el cheesecake súper rico, el helado de carajillo igual increíble, sólo la tarta estaba demasiado dulce.
La mesera era muy amable pero dispersa, teníamos que hablarle varias veces para que nos hiciera caso. Nos faltaron platos y cubiertos. Un plato para el postre nos lo mandaron sucio. Un vaso olía a huevo y los vasos con agua sabían horrible, como a sarro o sal. Me imagino eran los hielos.
Pienso que para los precios da mucho a qué desear. Si mejoraran el servicio sin duda regresaría, pero por lo pronto no."
Restaurante Emplumado,"Un lugar muy agradable, con decoración muy interesante, ecléctica y un servicio excelente. En nuestra visita nos atendió Luis Fernando y fue un excelente anfitrión. De los platillos de entrada, muy deliciosos y los platos fuertes igual. Todo excelente."
Restaurante Emplumado,"Excelente ubicación y buena atmósfera para ir a comer. El diseño de interior es lindísimo y se ve que todo ha sido seleccionado cuidadosamente, desde los acabados y mobiliario, hasta los platos y cubiertos.
El servicio es de 10, todo el personal es muy amable y te hacen sentir bienvenido.
Comimos dentro del restaurante porque era un día de mucho calor y ordenamos todo lo del menú “callejero”. El brioche de castacán con queso fue la estrella del día, los demás platillos estuvieron bien pero nada extraordinarios.
Seguramente volveré para disfrutar de la terraza y probar más de su menú."
Restaurante Emplumado,"Ubicado frente al Monumento a la Patria, Emplumado tiene la mejor ubicación en el corazón de Mérida. Desde que entras al lugar todo mundo te hace sentir bienvenido en especial Erick Sanchez quien fue nuestro mesero y estuvo atento a todas nuestras necesidades y expectativas. El ambiente y la decoración te invitan a relajarte y a disfrutar de un  momento agradable con familia o amigos o a disfrutar de una cena súper romántica con tu pareja. La presentación de las bebidas y los alimentos son una explosión de color y sabor. La fusión de los sabores y texturas en todos sus platillos lo hacen único y diferente. No puedes perderte las Tostadas de Atún o las Esferas Negras. Los cócteles de Gin son una delicia para refrescarte del clima de Mérdia y si buscas algo sin alcohol el Ginger Punch te encantará."
Los Trompos,"Según es alambre de pollo, pero llegó en 5 minutos y solo es pechuga asada con chile pimiento y cebolla,  no tiene tomate ni el guacamole que traia. Nada que ver con el clásico alambre que siempre he comido en los trompos. El sabor es rico,  eso no lo discuto, pero no es lo que siempre han ofrecido.
El servicio del mesero fue muy buena."
Los Trompos,"Es el segundo año que se reserva la cena de Año Nuevo y este 2024 fue toda una decepción. Pedí la pasta y tardo mucho en llegar cuando todos los demás de la mesa ya habían terminado de cenar, la pasta así como el pollo estaba insípida, mi pareja que pidió el Manuel especial y para la porción que le dieron era muy poca, a mi sobrina que tenía el menú infantil la pizza estaba quemada de la parte de abajo, la atención era súper escasa por parte de los meseros teníamos que estar detrás de alguno para las bebidas, las uvas no estaban frescas. Si quieres pasar un Año Nuevo en el restaurante no lo recomiendo bajaron mucho su calidad este 2024."
Los Trompos,"Pedí la comida para llevar, súper mala experiencia así me mandaron una gringa y los tacos, la verdad es que no tardé nada en comerlos y la tortilla estaba súper tiesa, no me dieron más que eso de piña, la salsa verde estaba pasadísima y aparte pedí un refresco para llevar y no tenía gas. La peor experiencia en comida"
Los Trompos,"Los alimentos me gustaron mucho, tienen muy buena presentación y la porción es muy buena. En lo personal recomiendo mucho probar los mega nachos de pastor, es suficiente para dos personas.

El establecimiento cuenta con área para niños y está muy bien cuidada y limpia el área. Definitivamente muy agradable todo, únicamente el servicio a veces un poco lento."
Los Trompos,"La comida está buena y el lugar es muy bonito, también por las noches hay buen ambiente y los viernes tienen promos en los preparados."
La Tratto,"La comida bien, nada espectacular. Los ravioles con buen sabor pero un poco cruda la masa en algunos de ellos. Falta capacitación al personal. Pedi una copa de vino y no dieron opción a degustar, que es algo básico, la comida llego primero que el pan de entrada qué por cierto tuve que pedir para que se entregará (mejor que se acompañe con aceite de olivo qué con chimichurri). El lugar bien en términos generales, la música bastante agradable así como el ambiente."
La Tratto,"Pedí pizza de prosciutto con arugula y miel. Estaba bien, pero no espectacular.
Los cócteles estaban al 2x1"
La Tratto,"Muy bonito lugar, la comida es buena y los cócteles también, adecuado para el precio que tienen.
El servicio estuvo bien, sin embargo al haber mucha gente en la cena, no encontrábamos en ocasiones al mesero que nos atendió.
Fuera de eso fue una agradable experiencia."
La Tratto,"Un lugar agradable, acogedor y con un buen servicio. Te hacen sentir como en casa. Nada ostentoso, con un ambiente sobrio y una atención puntual."
La Tratto,"Si consumes en el lugar está perfecto, comida rica, buen servicio, no recomiendo pedir ensalada  para llevar."
Mi rinconcito de amor - cafetería,Un lugar ameno y acogedor para pasar el rato. La comida tiene un sabor casero.
La Hermosita Mid,"Todo muy fresco y el aderezo muy bueno solo que en el menú dice que la ensalada verde trae queso panela y la mía no tenía nada de queso, siento que hubiera hecho la diferencia"
La Hermosita Mid,Muy rico y bien servido
La Hermosita Mid,Muy conveniente me gusta mucho.
Cafetería Xicálico,"Nos trataron mal. La pelirroja de la caja (que nos negó su nombre)  se burló de nosotros (de la manera del pedido) solo se le pido un producto específicamente  y lo hizo mal al principio (sabiendo q estaba mal) ya que cuando mi esposa se acercó riéndose se lo quito de la mano de mala manera  y le dijo: te dije , ella  sabia lo que se le pidió y después que nos quejamos lo hizo bien. Terrible trato"
Cafetería Xicálico,"Los productos están bien, pero el servicio, y la FACTURACIÓN son fatales, jams te mandan tu factura y nadie se hace responsable de realizarla, jamás tiene donde sentarse …….."
Cafetería Xicálico,"Creí que se trataba de una cafetería local pero es otro Starbucks más, se encuentra dentro del hospital. Ideal para comprar y llevar porque las mesas suelen estar ocupadas todo el tiempo.
Fueron entre $100-120 de un café grande y un strudel de manzana (del costco revendido)"
Cafetería Xicálico,"Súper servicio! Atentos, muy amables y completamente higiénico"
Cafetería Xicálico,"Productos muy buenos, la cafetería está limpia y el horario está bien para los que esperamos en el hospital."
La Fuente es Cafetería,Excelente servicio de muy buena calidad
Kaffi Francisco de Montejo,"El lugar es bonito aunque un poco chico, ahora con respecto a la comida siento que está bien, recomiendo probar los frapuchinos y para comer pidan un pizzanino es de un buen tamaño y está bueno."
Kaffi Francisco de Montejo,"Esta cafetería es una joyita♡ El lugar es muy tranquilo y agradable. Hay diversidad en sabores de frappes y cafés. Los postres son muy deliciosos también, recomiendo el pan de elote y el rol de canela. Sin duda tienen que visitar este lugar. 5/5"
Kaffi Francisco de Montejo,"Pedí un moca y estaba delicioso , también el pan de elote muy rico y de buen tamaño para compartir entre 2 personas. El lugar muy agradable sólo le faltaba tener un poco de música."
Kaffi Francisco de Montejo,"Excelente cafetería, muy ricas las bebidas y agradable para ir a platicar. Recomiendo el strawberry con chocolate y el chocolate frio."
Kaffi Francisco de Montejo,Bonito lugar y diversidad en el menú. Nos gustaron mucho nuestras bebidas.
Cafetería de la Facultad de Ingeniería,"La mejor cafetería que he podido ir. Más barato que otras, mejor servicio, todo bien puesto mesas limpias trato muy agradable ^^"
Cafetería de la Facultad de Ingeniería,Probablemente uno de los mejores lugares que sobrevieron a la pandemia en las cercanías de FIUADY.
Cafetería de la Facultad de Ingeniería,"Es un buen lugar para consumir alimento después de clases, te relajas."
Cafetería de la Facultad de Ingeniería,"Es una excelente cafetería para los estudiantes, comida casera a precios accesibles y bien servidos, cuenta con tv de paga y un trato amable por parte del personal."
Cafetería de la Facultad de Ingeniería,"Tiene un ambiente tranquilo y con clima, aunque en horas pico esta muy lleno, algunos precios están un poco altos considerando que es cafetería escolar."
Café Chavalete Mérida,"El lugar, a pesar de pequeño y una ubicación poco accesible, es muy bonito y llevadero. Los precios son moderados, probamos un café americado y un frappe de matcha... muy buen sabor, un poquito tardada la preparación supongo porque, aparentemente el chico que nos atendió era nuevo. A pesar de ello, muy amable y carismático. El local desde que entras tiene un olor muy agradable a café, puedes comprar el de tu preferencia, a granel"
Café Chavalete Mérida,"Tienen un menú a la vista, justo en la mesa donde te sientas que resulta que no está actualizado, cuando pedimos la cuenta su servicio de pago con terminal no funcionaba. Creo que por los comentarios que leí aquí tenía altas expectativas, el sabor no valió lo que al final, con un menú y precios diferentes, nos cobraron 😥 caro e insaboro 🥴"
Café Chavalete Mérida,"EL DUEÑO LLEGA BORRACHO E INCOMODA A LAS PERSONAS, la comida la meten al micro y no tienen limpieza al hacerla, el servicio okay pero no saben mucho de cafe, no estan capacitados, el lugar da una vibra rara y antigua sin cuidar, no tienen limpieza con loa trapos que usan en la cocina
Si les gusta el pan de elote que venden aquí, ahorrenselo y compren el paquete en costco, porque ese es el que venden"
Café Chavalete Mérida,"Me gustó mucho el sabor del café, tienen de varios tipos y el lugar está muy agusto... Yo pedí en varias ocasiones latte con sabor a crema irlandesa"
Café Chavalete Mérida,Me encantó el lugar y el café muy rico
La Barrita,"El lugar es muy bonito, tiene luces les y flores de decoración. La comida y bebidas igualmente son deliciosas, las bebidas pueden ser calientes o frías y te cobran extra si quieres leche deslactosada. El área de oportunidad a trabajar es el servicio, ya que tardan mucho en tomarte la orden y atenderte.
Recomiendo este lugar!!"
La Barrita,"El lugar está muy bonito de hecho a pesar que está chico tiene un estilo muy particular, ahora con respecto a la comida está regular y recomendaría el panini italiano o el panini caprese y el pastel red velvet, con respecto a las bebidas no están mal pero siento que les falta más sabor. Un detalle a mencionar si tardan un poco en atender."
La Barrita,"Muy rico, probé los postres, paninis y café, todo rico. Recomendable para una tardecita de amigos."
La Barrita,"Me encanta este lugar m, sus bebidas y postres  son los mejores💕👏🏻👏🏻, así como sus PRECIOS!"
La Barrita,"Lo bueno:
El lugar es realmente bonito. Es cómodo y tiene aire acondicionado, lo que se agradece en nuestra ciudad.
Lo que alcancé a probar estuvo muy rico, era un latte saborizado de avellana. Totalmente 💯
Lo malo:
Demasiada mala atención. Poco personal y demasiado distraído. Para que se hagan una idea, llegue a las 9:55 y me quite 11:00 y nunca llego mi pedido. Solo el latte.
Otro punto en contra es que no hay mucho estacionamiento cerca."
Respira Cafetería.,"He probado frappes de todos los sabores y ninguno decepciona, están muy bien hechos y además me gustan las frases que te dejan con ellos. Los cafés calientes no se quedan atrás, se siente fresco y muy bien hechos."
Respira Cafetería.,"Muy ricos los Frapes y excelente atención.
Muy recomendable para el antojo 😊"
Respira Cafetería.,
Respira Cafetería.,
Kahawa Cafetería,La comida y las bebidas están super ricas y tienen un buen precio
Kahawa Cafetería,No cumple horario publicado
Kahawa Cafetería,"La mejor cafetería, me encantan sus lattes y croissants. ✨☕🥐"
Love Bakery,"El café es muy bueno. Me encanta que se muela y se preparé al instante. Vale mucho la pena el café refill. En cuanto a la panadería, todo muy rico todo. El croissant relleno era espectacular, el pan muy bien logrado aunque un poco duro para partir con las manos o cubiertos. La nube de nata tiene un sabor ligero pero adictivo. Muy muy buena. Por último, la New York Roll de Maracuyá no me fascinó por el sabor tan ácido del relleno, esperaba algo más dulce pero acepté la recomendación de la mesera. No lo volvería a pedir porque me gustan las cosas dulces y en ese momento se me antojaba un NY Roll monchoso y dulce.
Los precios son muy razonables.
Sin duda volveré por pan y café."
Love Bakery,"La comida sin palabras! Extremadamente delicioso! El té chao late muy rico, así como los cafés que consumieron mis amigas.

Lo único que creo no me agradó del tomo fue la atención de la chica de mostrador.

El servicio de la mesera muy bueno y amable."
Love Bakery,"Excelente servicio, precio y están deliciosos..  solo que me gustaría que los contenedores para llevar, sean de cartón no de unicel.. todo demas excelente ..."
Love Bakery,Pan delicioso y los cafés igual super ricos. Lugar tranquilo
